Special_Name,Old_Name,Parliament
Muhammad Bakhtiar Wan Chik,Muhammad Bakhtiar Wan Chik,Balik Pulau
Muhyiddin Mohd Yassin,Mahiaddin Haji Md Yassin,Pagoh
Mujahid Yusof Rawa,Mujahid Yusof Rawa,Parit Buntar
Mukhriz Tun Dr Mahathir,Mukhriz Tun Dr Mahathir,Jerlun
Muslimin Yahaya,Muslimin Yahaya,Sungai Besar
Mustapa Mohamed,Mustapa Mohamed,Jeli
Nancy Shukri,Nancy Shukri,Batang Sadong
Natrah Ismail,Natrah Ismail,Sekijang
Nga Kor Ming,Nga Kor Ming,Teluk Intan
Ngeh Koo Ham,Ngeh Koo Ham,Beruas
Nik Mohamad Abduh Nik Abdul Aziz,Nik Mohamad Abduh Nik Abdul Aziz,Bachok
Nik Muhammad Zawawi Haji Salleh,Nik Muhammad Zawawi Haji Salleh,Pasir Puteh
Nik Nazmi Nik Ahmad,Nik Nazmi Nik Ahmad,Setiawangsa
Nizar Haji Zakaria,Mohd Nizar Haji Zakaria,Parit
Noh Haji Omar,Noh Haji Omar,Tanjung Karang
Noor Amin Ahmad,Noor Amin Ahmad,Kangar
Noor Azmi Ghazali,Noor Azmi Ghazali,Bagan Serai
Noorita Sual,Noorita Sual,Tenom
Nor Azrina Surip,Nor Azrina Surip,Merbok
Noraini Ahmad,Noraini Ahmad,Parit Sulong
Nurul Izzah Anwar,Nurul Izzah Anwar,Permatang Pauh
Ong Kian Ming,Ong Kian Ming,Bangi
Oscar Ling Chai Yew,Oscar Ling Chai Yew,Sibu
Pang Hok Liong,Pang Hok Liong,Labis
Prabakaran Parameswaran,P. Prabakaran,Batu
Raja Kamarul Bahrin Shah Raja Ahmad Baharuddin Shah,Raja Kamarul Bahrin Shah Raja Ahmad Baharuddin Shah,Senator
Ramkarpal Singh Karpal Singh,Ramkarpal Singh Karpal Singh,Bukit Gelugor
Ramli Dato' Mohd Nor,Ramli Dato' Mohd Nor,Cameron Highlands
Reezal Merican Naina Merican,Reezal Merican Naina Merican,Kepala Batas
Richard Riot Jaem,Richard Riot Jaem,Serian
Rina Mohd Harun,Rina Mohd Harun,Titiwangsa
Robert Lawson Chuat,Robert Lawson Chuat,Betong
Rohani Abdul Karim,Rohani Abdul Karim,Batang Lupar
Ronald Kiandee,Ronald Kiandee,Beluran
Rosol Wahid,Rosol Wahid,Hulu Terengganu
Rozman Isli,Rozman Isli,Labuan
Rubiah Wang,Rubiah Wang,Kota Samarahan
Rusnah Aluai,Rusnah Aluai,Tangga Batu
Sabri Azit,Sabri Azit,Jerai
Saifuddin Abdullah,Saifuddin Abdullah,Indera Mahkota
Saifuddin Nasution Ismail,Saifuddin Nasution Ismail,Kulim-Bandar Baharu
Salahuddin Ayub,Salahuddin Ayub,Pulai
Salim Sharif,Salim Sharif,Jempol
Sanisvara Nethaji Rayer Rajaji,Sanisvara Nethaji Rayer Rajaji,Jelutong
Santhara,Santhara,Segamat
Shabudin Yahaya,Shabudin Yahaya,Tasek Gelugor
Shaharizukirnain Abd Kadir,Shaharizukirnain Abd Kadir,Setiu
Shahidan Kassim ,Shahidan Kassim ,Arau
Shahruddin Md Salleh,Shahruddin Md Salleh,Sri Gading
Shamsul Anuar Nasarah,Shamsul Anuar Nasarah,Lenggong
Shamsul Iskandar @ Yusre Mohd Akin,Shamsul Iskandar @ Yusre Haji Mohd Akin,Hang Tuah Jaya
Sim Chee Keong,Sim Chee Keong,Bukit Mertajam
Sim Tze Tzin,Sim Tze Tzin,Bayan Baru
Siti Zailah Mohd Yusoff,Siti Zailah Mohd Yusoff,Rantau Panjang
Sivakumar Varatharaju Naidu,Sivakumar Varatharaju Naidu,Batu Gajah
Sivarasa Rasiah,Sivarasa Rasiah,Sungai Buloh
Sivarraajh Chandran,Sivarraajh Chandran,Cameron Highlands
Steven Choong Shiau Yoon,Steven Choong Shiau Yoon,Tebrau
Su Keong Siong,Su Keong Siong,Kampar
Syed Abu Hussin Hafiz Syed Abdul Fasal,Syed Abu Hussin Hafiz Syed Abdul Fasal,Bukit Gantang
Syed Ibrahim Syed Noh,Syed Ibrahim Syed Noh,Ledang
Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,Muar
Tajuddin Abdul Rahman,Tajuddin Abdul Rahman,Pasir Salak
Takiyuddin Hassan,Takiyuddin Hassan,Kota Bharu
Tan Kok Wai,Tan Kok Wai,Cheras
Tan Yee Kew,Tan Yee Kew,Wangsa Maju
Teh Kok Lim,Teh Kok Lim,Taiping
Tengku Adnan Tengku Mansor,Tengku Adnan Tengku Mansor,Putrajaya
